Equation,Short_equation
"add(mul(chem8, add(mul(chem8, chem6), mul(chem2, chem2))), mul(chem2, chem4))",chem2*chem4 + chem8*(chem2**2 + chem6*chem8)
"add(mul(chem2, chem4), mul(chem8, add(mul(chem8, chem6), mul(chem2, chem4))))",chem2*chem4 + chem8*(chem2*chem4 + chem6*chem8)
"add(mul(chem8, add(mul(chem8, chem6), mul(chem2, chem4))), mul(chem2, chem2))",chem2**2 + chem8*(chem2*chem4 + chem6*chem8)
"add(mul(chem8, mul(chem8, chem6)), mul(chem2, chem4))",chem2*chem4 + chem6*chem8**2
"add(mul(chem8, add(mul(chem8, chem6), mul(chem2, chem4))), mul(chem2, chem4))",chem2*chem4 + chem8*(chem2*chem4 + chem6*chem8)
"add(mul(chem8, mul(chem8, chem6)), mul(chem2, chem4))",chem2*chem4 + chem6*chem8**2
"add(mul(chem8, add(mul(chem8, chem6), mul(chem2, chem4))), mul(chem2, chem4))",chem2*chem4 + chem8*(chem2*chem4 + chem6*chem8)
"add(mul(add(mul(chem8, chem6), mul(chem2, chem4)), chem6), mul(chem2, chem4))",chem2*chem4 + chem6*(chem2*chem4 + chem6*chem8)
"add(mul(chem8, add(mul(chem8, chem6), mul(chem2, chem4))), mul(chem2, chem4))",chem2*chem4 + chem8*(chem2*chem4 + chem6*chem8)
"add(mul(chem8, mul(chem8, chem6)), mul(chem2, chem4))",chem2*chem4 + chem6*chem8**2
